experiment_id,model_id,mod_code,class_label,precision,recall,f1,support,tp,fp,fn
exp-a4-v2,svm,MOD-5,6,0.9871794871794872,0.32083333333333336,0.4842767295597485,480,154,2,326
exp-a4-v2,svm,MOD-5,7,0.0,0.0,0.0,0,0,66,0
exp-a4-v2,svm,MOD-5,8,0.0,0.0,0.0,0,0,616,0
exp-a4-v2,svm,MOD-5,9,0.0,0.0,0.0,0,0,456,0
exp-a4-v2,svm,MOD-5,10,1.0,0.04583333333333333,0.08764940239043824,960,44,0,916
exp-a4-v2,svm,MOD-5,11,0.0968421052631579,0.09583333333333334,0.09633507853403142,480,46,429,434
exp-a4-v2,svm,MOD-5,12,0.0,0.0,0.0,0,0,479,0
exp-a4-v2,svm,MOD-5,13,0.4727272727272727,0.05416666666666667,0.097196261682243,480,26,29,454
exp-a4-v2,svm,MOD-5,14,0.0,0.0,0.0,960,0,0,960
exp-a4-v2,svm,MOD-5,15,0.18696397941680962,0.22708333333333333,0.20507996237064913,480,109,474,371
exp-a4-v2,svm,MOD-5,16,0.0,0.0,0.0,0,0,246,0
exp-a4-v2,svm,MOD-5,17,0.0,0.0,0.0,0,0,87,0
exp-a4-v2,svm,MOD-5,18,0.9917355371900827,0.125,0.22201665124884368,960,120,1,840
exp-a4-v2,svm,MOD-5,19,0.20404040404040405,0.21041666666666667,0.20717948717948717,480,101,394,379
exp-a4-v2,svm,MOD-5,20,0.885286783042394,0.7395833333333334,0.8059023836549377,480,355,46,125
exp-a4-v2,xgboost,MOD-6,0,0.0,0.0,0.0,0,0,176,0
exp-a4-v2,xgboost,MOD-6,1,0.0,0.0,0.0,0,0,20,0
exp-a4-v2,xgboost,MOD-6,2,0.9681528662420382,0.95,0.9589905362776026,480,456,15,24
exp-a4-v2,xgboost,MOD-6,3,0.23717948717948717,0.23125,0.23417721518987342,480,111,357,369
exp-a4-v2,xgboost,MOD-6,4,0.0,0.0,0.0,0,0,41,0
exp-a4-v2,xgboost,MOD-6,5,0.0,0.0,0.0,0,0,6,0
exp-a4-v2,xgboost,MOD-6,6,0.9523809523809523,1.0,0.975609756097561,480,480,24,0
exp-a4-v2,xgboost,MOD-6,7,0.0,0.0,0.0,0,0,3,0
exp-a4-v2,xgboost,MOD-6,8,0.0,0.0,0.0,0,0,97,0
exp-a4-v2,xgboost,MOD-6,9,0.0,0.0,0.0,0,0,474,0
exp-a4-v2,xgboost,MOD-6,10,0.9453781512605042,0.234375,0.3756260434056761,960,225,13,735
